Pop,Sertanejo,Funk,Rock,Bandinha,Pisadinha,Eletrônica,K-Pop,Trap,Hip-Hop,House,Folk,MPB,Lo-Fi,Indie,Bossa Nova,Samba,Pagode,Gauchesca,Dubstep,Brega,Reggae,Metal,Reggaeton,Clássica,FPS,Mundo Aberto,Guerra,MOBA,Estratégia,Corrida,Battle Royale,Survival,Simulação,Esporte,Arcade,RPG,Plataforma,Cartas,Tabuleiro,Luta,Azar,MMORPG,Puzzle,Hack and slash,Rítmico,Point and click,Furtivo,Realidade Virtual,Nome
1.0,0.48,0.66,0.97,0.41,0.21,0.76,0.31,0.55,0.79,0.55,0.55,0.83,0.72,0.69,0.76,0.72,0.79,0.45,0.38,0.24,0.83,0.76,0.59,0.83,0.9,1.0,0.79,0.48,0.86,0.66,0.66,0.9,0.79,0.38,0.9,0.86,0.76,0.86,0.83,0.79,0.41,0.69,0.93,0.69,0.48,0.48,0.52,0.52,Centro 0
0.83,0.1,0.38,0.9,0.45,0.07,0.41,0.21,0.1,0.38,0.17,0.41,0.45,0.34,0.72,0.28,0.21,0.24,0.28,0.03,0.1,0.14,0.55,0.14,0.62,0.55,0.69,0.21,0.31,0.76,0.31,0.28,0.62,0.55,0.1,0.45,0.69,0.41,0.45,0.55,0.14,0.21,0.31,0.62,0.17,0.28,0.24,0.14,0.1,Centro 1
0.86,0.81,0.67,0.76,0.48,0.43,0.86,-0.0,0.57,0.71,0.24,0.19,0.29,0.33,0.1,0.14,0.38,0.57,0.57,0.1,0.19,0.33,0.19,0.71,0.29,0.67,0.62,0.57,0.24,0.43,0.76,0.52,0.52,0.38,0.86,0.29,0.14,0.05,0.71,0.57,0.48,0.43,0.29,0.24,0.14,0.05,0.14,0.1,0.14,Centro 2
